Barrel,pH,Nutrients,NO3_ambient,NO3_added,PO4_ambient,PO4_added,Epiphyte_mg_DW_TOT,Epiphyte_cm_shoot,ln_Epiphyte_cm_shoot,Epiphyte_g_shoot,Dead_shoots,dead_sht_ln_rr,per_shoot_mortality,Shoot_survival,Sht_leng_cm_TOT,Sht_leng_cm_MEAN,Sht_g_ FW_TOT,Sht_g_DW_TOT,Sht_g_DW_MEAN,Sht_mg_cm,Rhi_length_cm_Mean,Rhi_Elong_cm,Rhi_mass_g_FW_TOT,Rhi mass_g_DW_TOT,Rhi_mass_g_DW_MEAN,Rhi_mg_cm,Eelgrass_Mass_g FW,Eelgrass_Mass_g_DW,log_Eelgrass_Mass_g_DW,Algal_mass_g_DW,Algal_mass_g_DW_nooutlier,Algal_mass_g_FW,Macrophyte_Mass_g_DW,Detritus_g_DW,Dead_Shoots_g_DW,Dead_Roots_g_DW,Detirus_gDW_TOT,Ido_density,Ido_mortality,log_Ido_mortiality,Ido_mass_g_FW,Ido_sizes_cm, SH_density,SH_mortality,SH_g_FW,SH_sizes_cm,Grazer_density,Grazer_mortality,Grazer_Mass_g,Prelim_Plant_mass_g_FW,Prelim_Idotea_mass_g_FW,Prelim_Seahare_mass_g_FW,Prelim_Grazer_mass_g_FW,Prelim_Grazer_mass_shoot_mass,Prelim_Mean_Idotea_cm,Prelim_Mean_SH_cm,Change_Plant_mass_g_FW,PerChange_Mass,Change_Idotea_mass_g_FW,Change_Seahare_mass_g_FW,Change_Grazer_mass_g_FW,Change_Mean_Idotea_cm,Change_Mean_SH_cm,pH_Buffering,SH_Grazing,lnSH_Grazing,pH_EffectSize,AlgalMass,pH_EffectSize2,SH_Grazing_ES,Ulva_Grazing_ES,Ulva_grazing,Diatom_grazing,Epiphyte_grazing,lnUlva_grazing,hyp1_grazers,hyp2_grazers,hyp3_grazers,hyp_1_algae,hyp_2_algae,hyp_3_algae,hyp1_eelgrass,hyp2_eelgrass,hyp3_eelgrass
5,6.99,No Nutrients,6.378333333,10.09666667,0.550666667,0.860833333,327.9,0.345922566,-1.061540328,37.49056733,3,-0.693147181,12,22,947.9,43.08636364,43.9902,8.7462,0.397554545,8.585415932,9.6,2.6,41.0559,12.7621,0.580095455,56.77347693,85.0461,21.5083,1.332606085,28.9942,28.9942,202.6027,50.5025,0.4164,0.4488,1.2202,2.0854,3,5,0.698970004,0.1451,1.75,6,0,4.722,1.916666667,9,4,4.8671,137.06,1.07,1.7,2.77,0.01108,1.8125,1.8,-52.0139,0.6205027,-0.9249,3.022,2.0971,-0.0625,0.116666667,0.366,40.46822492,3.700517096,6.99,0.14631186,6.99,-2.981997797,2.339399066,0,26.04166667,26.04166667,0,1,1,1,5,5,5,1,5,5
12,7.14,No Nutrients,7.373333333,10.145,0.462833333,1.016,231.7,0.253168706,-1.373699189,30.19876181,4,0.182321557,16,21,915.2,43.58095238,59.8776,7.6725,0.365357143,9.09568717,8.819047619,1.819047619,47.2726,7.7527,0.36917619,41.82773514,107.1502,15.4252,1.188230804,30.2733,30.2733,229.98,45.6985,2.7074,0.487,1.6041,4.7985,7,1,0,0.9989,2.25,2,3,2.8638,3.75,9,4,3.8627,142.81,1.55,1.82,3.37,0.01348,1.75,1.6,-35.6598,0.750298999,-0.5511,1.0438,0.4927,0.5,2.15,0.296,1.552614824,0.439940493,7.14,0.386732853,7.14,-0.315602423,0.963315671,0,32.87037037,32.87037037,0,2.5,2.5,2.5,4,4,4.5,2.5,4.5,4.5
9,7.29,No Nutrients,5.285,10.76333333,0.3816,0.808,454,0.454318023,-0.788957836,65.19522668,2,0.84729786,8,23,999.3,43.44782609,64.7435,6.9637,0.302769565,7.047916568,9.152173913,2.152173913,42.7957,5.5435,0.241021739,26.08378374,107.5392,12.5072,1.097160095,6.1766,6.1766,33.0571,18.6838,1.4313,0.226,0.3815,2.0388,3,5,0.698970004,0.4454,1.833333333,5,0,7.7415,3,8,5,8.1869,131.51,1.08,2.23,3.31,0.01324,1.8125,1.8,-23.9708,0.817726409,-0.6346,5.5115,4.8769,0.020833333,1.2,0.246,0.439279763,-0.822618796,7.29,0.864485409,7.29,1.590855949,0.380463806,0,0.462962963,0.462962963,0,4,4,4,2.5,2.5,4,4,4,4
7,7.43,No Nutrients,5.093333333,9.865,0.448,0.8295,304.1,0.264572821,-1.329638751,38.65415904,0,1.945910149,0,25,1149.4,44.20769231,99.4164,7.8672,0.302584615,6.726444193,8.78,1.78,78.0278,9.2456,0.369824,41.09013318,177.4442,17.1128,1.233321075,48.7437,na,347.8286,65.8565,1.6601,0,0,1.6601,4,4,0.602059991,0.748,2.5,5,0,5.314,3,9,4,6.062,143.6,1.09,2.25,3.34,0.01336,1.6875,2,33.8442,1.235683844,-0.342,3.064,2.722,0.8125,1,0.776,3.934356496,1.369747335,7.58,-0.328879801,7.43,1.050924718,0.527354926,0,33.10185185,33.10185185,0,5,5,5,1,1,3.5,5,3.5,3.5
1,7.58,No Nutrients,7.531666667,9.278333333,0.721833333,0.781,402.2,0.33458115,-1.094875829,62.58363676,1,0.405465108,4,24,1202.1,50.0875,48.2643,6.4266,0.267775,5.296916707,9.15,2.15,52.0567,11.2162,0.467341667,49.42278054,100.321,17.6428,1.246567511,8.0063,8.0063,86.55,25.6491,0,0.1167,0.2101,0.3268,6,2,0.301029996,0.7684,2.4,5,0,7.953,3.3,11,2,8.7214,132.4,1.01,2.575,3.585,0.01434,1.625,2,-32.079,0.75771148,-0.2416,5.378,5.1364,0.775,1.3,0.366,na,na,7.73,-0.784327504,7.73,1.980412381,0.208217901,na,na,na,na,4,4,4,0.5,0.5,2,4,2,2
4,7.73,No Nutrients,5.433333333,8.383333333,0.534166667,0.8445,158.5,0.17174125,-1.761766293,19.62629552,1,1.252762968,4,24,922.9,38.45416667,61.0419,8.0759,0.336495833,9.503674108,8.233333333,1.233333333,41.1895,5.688,0.237,28.9606597,102.2314,13.7639,1.138741509,7.3124,7.3124,27.5796,21.0763,2.6511,0,0.6387,3.2898,5,3,0.477121255,0.8232,2.6,4,1,4.9085,3,9,4,5.7317,147.05,1.48,2.47,3.95,0.0158,1.875,2.4,-44.8186,0.695215233,-0.6568,2.4385,1.7817,0.725,0.6,0.176,3.258603493,1.181298727,7.86,-0.584432406,7.86,1.658604168,0,0,11.34259259,11.34259259,0,2.5,2.5,2.5,0.25,0.25,2.5,2.5,2.5,2.5
14,7.86,No Nutrients,7.488333333,10.6,0.444,0.950166667,252,0.229864088,-1.470267065,40.79584271,1,0.405465108,4,24,1096.3,45.67916667,57.1866,6.1771,0.257379167,5.765098466,8.979166667,1.979166667,44.6131,5.4518,0.227158333,25.05854438,101.7997,11.6289,1.065538636,11.8278,11.8278,138.9024,23.4567,3.3349237,0.1163,0.1627,3.6139237,5,3,0.477121255,0.7615,2.3,2,3,1.8745,3.25,7,6,2.636,132.1,1.51,1.07,2.58,0.01032,1.9375,1.3,-30.3003,0.770626041,-0.7485,0.8045,0.056,0.3625,1.95,0.256,0.742070156,-0.298311491,na,na,na,na,na,0,37.84722222,37.84722222,0,1,1,1,0.13,0.13,1.5,1,1.5,1.5
6,6.99,Nutrients added,na,na,na,na,323.5,0.279240397,-1.27568223,39.1736598,1,na,4,24,1158.5,44.55769231,88.4217,8.2581,0.317619231,7.104116812,9.166666667,2.166666667,57.172,6.8885,0.287020833,32.33573917,145.5937,15.1466,1.180315156,33.72,33.72,361.9906,48.8666,0.2502488,0.142,0.2735,0.6657488,1,7,0.84509804,0.1213,2,2,3,3.0519,3.5,3,10,3.1732,145.45,0.93,2.72,3.65,0.0146,1.625,2,0.1437,1.000987968,-0.8087,0.3319,-0.4768,0.375,1.5,0.456,2.05139346,0.718519299,na,na,na,na,na,9.375,45.13888889,54.51388889,2.339399066,na,na,na,na,na,na,na,na,na
11,7.14,Nutrients added,na,na,na,na,298.4,0.373373373,-0.985176359,53.51122588,5,na,20,20,799.2,39.96,50.3728,5.5764,0.27882,8.044606437,9.745,2.745,45.452,5.8458,0.29229,29.45542201,95.8248,11.4222,1.05774976,45.0394,45.0394,237.73,56.4616,3.4127,0.7242,1.0698,5.2067,1,7,0.84509804,0.1819,2.5,5,0,2.3602,2.1,6,7,2.5421,143.55,1.27,1.72,2.99,0.01196,1.875,1.8,-47.7252,0.66753605,-1.0881,0.6402,-0.4479,0.625,0.3,0.466,1.132398635,0.124338069,na,na,na,na,na,1.62037037,23.61111111,25.23148148,0.963315671,na,na,na,na,na,na,na,na,na
10,7.29,Nutrients added,na,na,na,na,421.5,0.470319125,-0.754343825,61.7618615,6,na,24,19,896.2,47.16842105,59.6748,6.8246,0.359189474,7.723511609,8.994736842,1.994736842,42.7238,6.0851,0.320268421,36.00193012,102.3986,12.9097,1.11091615,16.0357,16.0357,130.1794,28.9454,2.8753,0.9265,1.8677,5.6695,5,3,0.477121255,0.7504,2.13,4,1,4.6665,2.875,9,4,5.4169,155.46,0.87,2.71,3.58,0.01432,1.75,2.2,-53.0614,0.658681333,-0.1196,1.9565,1.8369,0.38,0.675,0.506,2.15596227,0.768237153,na,na,na,na,na,0.462962963,12.5,12.96296296,0.380463806,na,na,na,na,na,na,na,na,na
8,7.43,Nutrients added,na,na,na,na,242.4,0.292824354,-1.228182325,49.47948561,6,na,24,19,827.8,41.39,45.5044,4.899,0.24495,5.875930439,9.405263158,2.405263158,40.1935,5.0581,0.266215789,28.36875108,85.6979,9.9571,0.998132869,9.5433,na,52.7046,19.5004,3.733,0.3977,1.383,5.5137,4,4,0.602059991,0.6023,2.125,4,1,3.9807,2.75,8,5,4.583,146.3,0.95,2,2.95,0.0118,1.8125,2,-60.6021,0.585768284,-0.3477,1.9807,1.633,0.3125,0.75,0.336,11.25341967,2.420672053,na,na,na,na,na,0.694444444,33.7962963,34.49074074,0.527354926,na,na,na,na,na,na,na,na,na
2,7.58,Nutrients added,na,na,na,na,306.4,0.288893079,-1.241698627,41.01136379,2,na,8,23,1060.6,46.11304348,62.82801,7.4711,0.324830435,7.224499365,8.643478261,1.643478261,47.0449,7.5918,0.330078261,37.80828327,109.87291,15.0629,1.177908593,5.4821,5.4821,67.9927,20.545,3.0009,0.2841,0.3158,3.6008,3,5,0.698970004,0.395,2.166666667,4,1,3.3227,2.333333333,7,6,3.7177,141.05,0.95,2.03,2.98,0.01192,1.5,2,-31.17709,0.778964268,-0.555,1.2927,0.7377,0.666666667,0.333333333,0.346,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
3,7.73,Nutrients added,na,na,na,na,144.1,0.166570339,-1.792337604,22.33242929,6,na,24,19,865.1,41.1952381,56.1225,6.4525,0.307261905,7.954884808,7.752631579,0.752631579,31.8001,4.8004,0.252652632,32.88505382,87.9226,11.2529,1.051264459,2.794,2.794,34.3345,14.0469,3.5597212,1.0397,1.5589,6.1583212,2,6,0.77815125,0.551,3,3,2,3.3173,3,5,8,3.8683,145.9,1.02,1.46,2.48,0.00992,1.8125,2.1,-57.9774,0.602622344,-0.469,1.8573,1.3883,1.1875,0.9,0.186,23.61096229,3.161711108,na,na,na,na,na,0.231481481,25.23148148,25.46296296,0.208217901,na,na,na,na,na,na,na,na,na
13,7.86,Nutrients added,na,na,na,na,286.9,0.293233851,-1.226784861,48.56538299,2,na,8,23,978.4,40.76666667,59.9209,5.9075,0.256847826,6.481776472,8.765217391,1.765217391,55.1982,8.8659,0.385473913,43.95208448,115.1191,14.7734,1.169480457,6.1505,6.1505,145.057,20.9239,7.0861,0.2428,0.2538,7.5827,5,3,0.477121255,0.7615,2.3,2,3,1.8746,3.25,7,6,2.6361,156.85,1.57,1.73,3.3,0.0132,1.625,1.5,-41.7309,0.733943895,-0.8085,0.1446,-0.6639,0.675,1.75,0.226,3.897333796,1.360292677,na,na,na,na,na,0,17.01388889,17.01388889,0,na,na,na,na,na,na,na,na,na
