pH1,Nutrients1,SH_Grazing,Ulva_grazing,diatom_grazing,epiphyte_grazing,IGNORE,Rep,pH,Nutrients,Shoot_length,Sht_g_DW,Rhi_Elong_cm,Rhi_mass_g_DW
6.99,No Nutrients,0.023222126,0,25.69444444,25.69444444,,1,6.99,No Nutrients,49.6,0.3088,2.6,0.2662
6.99,No Nutrients,80.91322771,0,26.38888889,26.38888889,,2,6.99,No Nutrients,60.4,0.5173,3.8,0.3555
7.14,No Nutrients,4.657844471,0,26.38888889,26.38888889,,3,6.99,No Nutrients,45.1,0.633,3.2,0.5912
7.14,No Nutrients,0,0,38.19444444,38.19444444,,4,6.99,No Nutrients,48,0.2476,3.4,0.3616
7.14,No Nutrients,0,0,34.02777778,34.02777778,,5,6.99,No Nutrients,44.1,0.2342,1.8,0.2397
7.29,No Nutrients,0.148627557,0,0.694444444,0.694444444,,6,6.99,No Nutrients,52.8,0.6313,3,0.2838
7.29,No Nutrients,1.169211732,0,0,0,,7,6.99,No Nutrients,73.2,1.2892,1.8,0.5725
7.29,No Nutrients,0,0,0.694444444,0.694444444,,8,6.99,No Nutrients,32.4,0.1157,1.1,0.2924
7.43,No Nutrients,2.002477318,0,31.25,31.25,,9,6.99,No Nutrients,49.4,0.7446,3,0.5835
7.43,No Nutrients,1.682842712,0,32.63888889,32.63888889,,10,6.99,No Nutrients,47.1,0.3115,3.3,0.7379
7.43,No Nutrients,8.117749459,0,35.41666667,35.41666667,,11,6.99,No Nutrients,44.5,0.549,1.4,0.6361
7.58,No Nutrients,6.784986584,na,na,na,,12,6.99,No Nutrients,38.6,0.2569,2.9,0.5028
7.58,No Nutrients,12.11628062,na,na,na,,13,6.99,No Nutrients,37.7,0.3891,5.2,1.7637
7.58,No Nutrients,2.011810482,na,na,na,,14,6.99,No Nutrients,28.3,0.177,3.2,0.291
7.73,No Nutrients,0.476796928,0,14.58333333,14.58333333,,15,6.99,No Nutrients,45.6,0.2529,1.8,0.3903
7.73,No Nutrients,0,0,3.472222222,3.472222222,,16,6.99,No Nutrients,28.2,0.2007,0,0.1582
7.73,No Nutrients,9.299013551,0,15.97222222,15.97222222,,17,6.99,No Nutrients,33.6,0.105,0,0.1832
7.86,No Nutrients,0,0,32.63888889,32.63888889,,18,6.99,No Nutrients,34.6,0.2077,0.6,0.3842
7.86,No Nutrients,1.484140312,0,43.05555556,43.05555556,,19,6.99,No Nutrients,36,0.2089,3.5,0.4909
6.99,Nutrients added,0.411997307,8.333333333,38.88888889,47.22222222,,20,6.99,No Nutrients,50.2,1.0236,5,2.6449
6.99,Nutrients added,3.690789613,10.41666667,51.38888889,61.80555556,,21,6.99,No Nutrients,18.5,0.1281,4,0.6881
7.14,Nutrients added,1.70896741,3.472222222,26.38888889,29.86111111,,22,6.99,No Nutrients,50,0.2141,2.6,0.3444
7.14,Nutrients added,0.45253823,0,34.72222222,34.72222222,,23,6.99,No Nutrients,na,na,na,na
7.14,Nutrients added,1.235690265,1.388888889,9.722222222,11.11111111,,24,6.99,No Nutrients,na,na,na,na
