Rep,pH,Nutrients,Shoot_length,Sht_g_DW,Rhi_Elong_cm,Rhi_mass_g_DW
1,6.99,No Nutrients,49.6,0.3088,2.6,0.2662
2,6.99,No Nutrients,60.4,0.5173,3.8,0.3555
3,6.99,No Nutrients,45.1,0.633,3.2,0.5912
4,6.99,No Nutrients,48,0.2476,3.4,0.3616
5,6.99,No Nutrients,44.1,0.2342,1.8,0.2397
6,6.99,No Nutrients,52.8,0.6313,3,0.2838
7,6.99,No Nutrients,73.2,1.2892,1.8,0.5725
8,6.99,No Nutrients,32.4,0.1157,1.1,0.2924
9,6.99,No Nutrients,49.4,0.7446,3,0.5835
10,6.99,No Nutrients,47.1,0.3115,3.3,0.7379
11,6.99,No Nutrients,44.5,0.549,1.4,0.6361
12,6.99,No Nutrients,38.6,0.2569,2.9,0.5028
13,6.99,No Nutrients,37.7,0.3891,5.2,1.7637
14,6.99,No Nutrients,28.3,0.177,3.2,0.291
15,6.99,No Nutrients,45.6,0.2529,1.8,0.3903
16,6.99,No Nutrients,28.2,0.2007,0,0.1582
17,6.99,No Nutrients,33.6,0.105,0,0.1832
18,6.99,No Nutrients,34.6,0.2077,0.6,0.3842
19,6.99,No Nutrients,36,0.2089,3.5,0.4909
20,6.99,No Nutrients,50.2,1.0236,5,2.6449
21,6.99,No Nutrients,18.5,0.1281,4,0.6881
22,6.99,No Nutrients,50,0.2141,2.6,0.3444
23,6.99,No Nutrients,na,na,na,na
24,6.99,No Nutrients,na,na,na,na
25,6.99,No Nutrients,na,na,na,na
1,7.14,No Nutrients,36,0.2924,4,0.4014
2,7.14,No Nutrients,na,na,na,na
3,7.14,No Nutrients,na,na,na,na
4,7.14,No Nutrients,16,0.1148,1.6,0.3555
5,7.14,No Nutrients,31,0.5834,2,0.5397
6,7.14,No Nutrients,53,0.4108,0,0.2275
7,7.14,No Nutrients,53,0.4601,2.6,0.4532
8,7.14,No Nutrients,54,0.5798,1.6,0.2501
9,7.14,No Nutrients,40,0.1851,2.2,0.7752
10,7.14,No Nutrients,na,na,na,na
11,7.14,No Nutrients,55,0.3091,1,0.4398
12,7.14,No Nutrients,56,0.3391,1,0.3459
13,7.14,No Nutrients,62,0.458,3,0.4187
14,7.14,No Nutrients,65,0.4203,1,0.6164
15,7.14,No Nutrients,33,0.3006,2,0.2727
16,7.14,No Nutrients,12.2,0.2994,-0.4,0.2312
17,7.14,No Nutrients,51,0.398,4.8,0.3522
18,7.14,No Nutrients,na,na,na,na
19,7.14,No Nutrients,60,0.5967,1,0.341
20,7.14,No Nutrients,46,0.424,2.6,0.282
21,7.14,No Nutrients,42,0.4844,2.4,0.3099
22,7.14,No Nutrients,37,0.3219,3,0.5204
23,7.14,No Nutrients,43,0.3052,1,0.228
24,7.14,No Nutrients,28,0.1973,-0.4,0.1663
25,7.14,No Nutrients,42,0.1921,2.2,0.2256
1,7.29,No Nutrients,51.4,0.4162,3,0.24
2,7.29,No Nutrients,52.2,0.4214,2.6,0.1818
3,7.29,No Nutrients,29,0.2434,1.8,0.1973
4,7.29,No Nutrients,45.8,0.3301,1,0.3942
5,7.29,No Nutrients,22.6,0.1931,1.2,0.1944
6,7.29,No Nutrients,43,0.277,3.6,0.3756
7,7.29,No Nutrients,38.8,0.3646,5,0.3191
8,7.29,No Nutrients,49,0.2178,0.8,0.0885
9,7.29,No Nutrients,40.6,0.2686,3.8,0.3387
10,7.29,No Nutrients,50.4,0.3607,2.8,0.324
11,7.29,No Nutrients,31.4,0.2584,2,0.3096
12,7.29,No Nutrients,44.4,0.3434,1.1,0.1902
13,7.29,No Nutrients,43.1,0.3168,0.4,0.1816
14,7.29,No Nutrients,63.2,0.4533,3.6,0.4188
15,7.29,No Nutrients,41.4,0.2812,-0.4,0.1372
16,7.29,No Nutrients,47.2,0.3326,3.8,0.2504
17,7.29,No Nutrients,42.6,0.2383,2.4,0.1617
18,7.29,No Nutrients,32,0.1794,2.8,0.2269
19,7.29,No Nutrients,29.2,0.2269,2.7,0.1934
20,7.29,No Nutrients,na,na,na,na
21,7.29,No Nutrients,55.2,0.3524,0.4,0.1918
22,7.29,No Nutrients,47.6,0.2013,0.8,0.1567
23,7.29,No Nutrients,41.8,0.2856,2.2,0.1993
24,7.29,No Nutrients,na,na,na,na
25,7.29,No Nutrients,57.4,0.4012,2.1,0.2723
1,7.43,No Nutrients,16.4,0.0595,-2.5,0.1103
2,7.43,No Nutrients,47.3,0.4545,0.1,0.1735
3,7.43,No Nutrients,43.4,0.1988,2.1,0.3975
4,7.43,No Nutrients,59.3,0.4855,3.2,0.6243
