pH,Nutrients,SH_Grazing,Ulva_grazing,diatom_grazing
6.99,No Nutrients,0.023222126,0,25.69444444
6.99,No Nutrients,80.91322771,0,26.38888889
7.14,No Nutrients,4.657844471,0,26.38888889
7.14,No Nutrients,0,0,38.19444444
7.14,No Nutrients,0,0,34.02777778
7.29,No Nutrients,0.148627557,0,0.694444444
7.29,No Nutrients,1.169211732,0,0
7.29,No Nutrients,0,0,0.694444444
7.43,No Nutrients,2.002477318,0,31.25
7.43,No Nutrients,1.682842712,0,32.63888889
7.43,No Nutrients,8.117749459,0,35.41666667
7.58,No Nutrients,6.784986584,na,na
7.58,No Nutrients,12.11628062,na,na
7.58,No Nutrients,2.011810482,na,na
7.73,No Nutrients,0.476796928,0,14.58333333
7.73,No Nutrients,0,0,3.472222222
7.73,No Nutrients,9.299013551,0,15.97222222
7.86,No Nutrients,0,0,32.63888889
7.86,No Nutrients,1.484140312,0,43.05555556
6.99,Nutrients added,0.411997307,8.333333333,38.88888889
6.99,Nutrients added,3.690789613,10.41666667,51.38888889
7.14,Nutrients added,1.70896741,3.472222222,26.38888889
7.14,Nutrients added,0.45253823,0,34.72222222
7.14,Nutrients added,1.235690265,1.388888889,9.722222222
7.29,Nutrients added,2.994731559,0,9.722222222
7.29,Nutrients added,0,0,16.66666667
7.29,Nutrients added,3.473155252,1.388888889,11.11111111
7.43,Nutrients added,8.66981139,0,34.72222222
7.43,Nutrients added,17.73824136,2.083333333,31.25
7.43,Nutrients added,7.352206272,0,35.41666667
7.73,Nutrients added,12.41662004,0.694444444,28.47222222
7.73,Nutrients added,9.711448023,0,35.41666667
7.73,Nutrients added,48.70481881,0,11.80555556
7.86,Nutrients added,2.093936516,0,15.97222222
7.86,Nutrients added,1.292229419,0,15.27777778
7.86,Nutrients added,8.305835451,0,19.79166667
