pH Treatment,Durafet pHT,Spec pHT,NO3,PO4,TA,pCO2,Temp,Salinity,Nutrients
6.95-7.0,6.99 (0.05),7.09,5.29,0.38,2229,4253,17.3,34,0
6.95-7.0,6.99 (0.05),-0.07,-3.03,-0.23,-5.4,-599,-0.65,-0.1,0
6.95-7.0,6.99 (0.05),7.06,10.76,0.81,2225,4543,17.2,34.1,1
6.95-7.0,6.99 (0.05),-0.02,-4.89,-0.28,-6.4,-178,-0.72,-0.19,1
7.1-7.15,7.14 (0.08),7.26,5.43,0.53,2229,2820,17.2,34,0
7.1-7.15,7.14 (0.08),-0.02,-2.04,-0.41,-6.9,-144,-0.71,-0.1,0
7.1-7.15,7.14 (0.08),7.25,8.38,0.84,2227,2889,17.3,34,1
7.1-7.15,7.14 (0.08),-0.01,-2.97,-0.43,-7.7,-64,-0.7,-0.09,1
7.25-7.3,7.29 (0.08),7.35,7.53,0.72,2227,2248,17.4,34,0
7.25-7.3,7.29 (0.08),-0.02,-5.69,-0.69,-12,-138,-0.89,-0.09,0
7.25-7.3,7.29 (0.08),7.38,9.27,0.78,2213,2080,17.2,34,1
7.25-7.3,7.29 (0.08),-0.03,-3.63,-0.31,-33.6,-153,-0.67,-0.09,1
7.4-7.45,7.43 (0.02),7.52,5.09,0.45,2195,1459,17.6,34,0
7.4-7.45,7.43 (0.02),-0.05,-3.47,-0.3,-87.5,-163,-0.89,-0.1,0
7.4-7.45,7.43 (0.02),7.59,9.87,0.83,2225,1611,16.9,34,1
7.4-7.45,7.43 (0.02),-0.01,-3.23,-0.34,-9,-47,-0.66,-0.08,1
7.55-7.6,7.58 (0.05),7.65,6.37,0.55,2226,1078,17.3,34,0
7.55-7.6,7.58 (0.05),-0.02,-3.21,-0.3,-6.9,-48,-0.67,-0.1,0
7.55-7.6,7.58 (0.05),7.66,10.09,0.86,2223,1035,17.1,34,1
7.55-7.6,7.58 (0.05),-0.02,-2.29,-0.26,-6.4,-80,-0.69,-0.15,1
7.7-7.75,7.73 (0.03),7.73,7.37,0.46,2225,859,17.1,34,0
7.7-7.75,7.73 (0.03),-0.01,-4.86,-0.19,-9.1,-89,-0.74,-0.09,0
7.7-7.75,7.73 (0.03),7.73,10.14,1.02,2215,889,17.4,34,1
7.7-7.75,7.73 (0.03),-0.02,-2.64,-0.45,-27.3,-44,-0.83,-0.08,1
7.85-7.9,7.86 (0.03),7.87,7.48,0.44,2229,628,17.3,34,0
7.85-7.9,7.86 (0.03),-0.02,-4.11,-0.2,-8.2,-30,-0.79,-0.07,0
7.85-7.9,7.86 (0.03),7.85,10.6,0.95,2222,449,17.3,34,1
7.85-7.9,7.86 (0.03),-0.02,-3.85,-0.1,-11.7,-31,-0.63,-0.09,1
